run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
59,2000,40,3,sqrt,False,0.3,0.2,24480,6120,0.027345817875339337,0.01490079558396158,0.44472567107054695,0.9112745098039216,53.009241819381714
60,500,20,2,log2,False,0.225,0.25,22720,7574,0.02340729248275045,0.014050586004563905,0.45147203663505386,0.9214417744916821,11.552234888076782
61,1000,15,2,0.6,True,0.225,0.2,24235,6059,0.023700068321301185,0.014372106683585711,0.44090027773087936,0.936128073939594,36.14869809150696
62,1000,30,1,0.3,True,0.225,0.15,25749,4545,0.02337995336905481,0.013715341011806086,0.4491112885913743,0.8814081408140814,49.50025129318237
63,1000,50,3,0.7,False,0.2,0.1,27081,3010,0.020841531227820457,0.012689557391733528,0.5030064033824588,0.9093023255813953,60.85615801811218
64,1000,30,3,0.3,False,0.35,0.2,24677,6170,0.03410337950644058,0.01695889359561417,0.423420637033312,0.9082658022690437,32.91728401184082
65,2000,20,3,0.5,False,0.25,0.1,27375,3042,0.024571209962930766,0.014092903373286102,0.43804435434716305,0.9303090072320842,85.15983986854553
66,2000,15,5,0.5,False,0.3,0.1,27540,3060,0.027681729078115374,0.015752029712740253,0.43020770153134413,0.9395424836601307,70.95350503921509
67,500,15,7,log2,False,0.25,0.2,24333,6084,0.02581031919638149,0.015410445392360927,0.40775502836146893,0.9386916502301118,8.87367868423462
68,1000,25,3,0.6,True,0.3,0.2,24480,6120,0.027275422014938953,0.01482022180417241,0.44758085728137287,0.9137254901960784,46.04130411148071
69,1500,20,3,0.6,False,0.3,0.1,27540,3060,0.02710599540080224,0.01495671301093224,0.4536626803050441,0.9320261437908497,71.82687377929688
70,2000,50,10,0.4,True,0.25,0.1,27375,3042,0.025117031856700972,0.014313007139978432,0.41280062388407246,0.9345825115055885,67.33016419410706
71,1000,None,1,0.6,True,0.2,0.25,22568,7523,0.02233110117157478,0.01352458121331611,0.4450111373863882,0.8563073242057689,62.27641701698303
72,500,15,2,0.6,False,0.2,0.1,27081,3010,0.021208161696950334,0.013374366313981803,0.4853670390879169,0.9365448504983389,20.23073101043701
73,1000,None,1,log2,True,0.3,0.25,22950,7650,0.02845069853940469,0.01546049611028973,0.40854915787415913,0.8592156862745098,40.96526384353638
74,1500,None,3,0.3,False,0.25,0.25,22812,7605,0.025181752380855415,0.014505752649624976,0.4439271225085343,0.9083497698882315,44.979125022888184
75,1000,25,1,log2,False,0.25,0.1,27375,3042,0.02519516547046967,0.014278722397659793,0.4091416429282646,0.8987508218277449,39.52680516242981
76,1000,25,7,0.5,False,0.35,0.1,27762,3085,0.03456255460490789,0.017450136979476946,0.45282510079529736,0.9312803889789303,41.68304991722107
77,2000,25,2,0.3,False,0.35,0.1,27762,3085,0.03366994362552051,0.017053270568990333,0.48072277473929215,0.9108589951377634,77.53415203094482
78,1500,None,1,0.3,False,0.25,0.25,22812,7605,0.025887796853512186,0.014774891285382652,0.4123077027000095,0.8731097961867192,69.39388489723206
79,2000,40,1,0.6,False,0.25,0.1,27375,3042,0.02532597813364571,0.014320777812628294,0.40299027204241966,0.8701512163050624,150.0451180934906
80,500,30,1,log2,True,0.35,0.15,26219,4628,0.03434753096270322,0.01719418440624131,0.4211261159701999,0.8664649956784788,21.577807903289795
81,1000,40,10,0.4,True,0.2,0.2,24072,6019,0.02220023894201101,0.01367492549461148,0.4476321579255329,0.9303871074929391,28.841710090637207
82,1500,None,10,log2,False,0.35,0.2,24677,6170,0.03529061091377658,0.017676168122412725,0.3825772737808829,0.9286871961102107,28.739978075027466
83,1000,50,2,0.6,False,0.3,0.15,26010,4590,0.0275235870562533,0.0149781507491359,0.4384932635208727,0.8917211328976035,58.694045066833496
84,1000,25,3,0.5,False,0.225,0.15,25749,4545,0.02293990305624972,0.013509426480917242,0.4696534496727509,0.9203520352035204,42.830037117004395
85,500,40,7,0.6,True,0.2,0.15,25577,4514,0.021792678469199713,0.013350974548611049,0.46664415038837914,0.9213557820115197,21.036986112594604
86,500,15,5,0.7,False,0.35,0.2,24677,6170,0.03514901585447784,0.01814827140201162,0.38752185373609216,0.933387358184765,20.220178365707397
87,1000,20,10,0.3,False,0.25,0.15,25854,4563,0.025359637327837685,0.014857085140814907,0.4278688052730514,0.9355687047994741,24.22795796394348
88,500,15,2,0.3,False,0.25,0.15,25854,4563,0.025298388164138024,0.015012298041955802,0.4306291159957001,0.9364453210607057,12.642176866531372
89,2000,25,1,0.3,True,0.2,0.25,22568,7523,0.022160007904589517,0.01341538670630263,0.4534828290491413,0.8871460853382959,77.51580095291138
90,2000,50,5,0.6,False,0.3,0.25,22950,7650,0.02779017153118087,0.015262575175962842,0.43569325480857624,0.9166013071895425,82.15876507759094
91,500,15,1,0.5,False,0.25,0.2,24333,6084,0.025715387329357645,0.015218162328102185,0.41210363985028464,0.9311308349769888,16.95388698577881
92,500,None,1,0.5,False,0.3,0.25,22950,7650,0.02856428565532297,0.015571602667714856,0.4038170910660722,0.8669281045751634,29.224830865859985
93,1000,20,10,0.7,False,0.25,0.1,27375,3042,0.024989992933607586,0.014453396449306488,0.4187255695575097,0.9395134779750164,46.24342703819275
94,1500,20,2,sqrt,True,0.2,0.25,22568,7523,0.021986457114368255,0.013467019429775049,0.4620096377306965,0.9179848464708228,33.5118567943573
95,1000,40,3,0.5,False,0.35,0.15,26219,4628,0.033947278404629154,0.01698678168805176,0.43453877000935803,0.9038461538461539,48.35035181045532
96,1000,25,7,0.6,False,0.35,0.15,26219,4628,0.034442496781569375,0.017331906037770052,0.41792069029427337,0.9291270527225584,43.831823110580444
97,2000,40,10,0.6,False,0.35,0.25,23135,7712,0.034417096561694324,0.017400243653590886,0.3926177442665649,0.9279045643153527,74.36878275871277
98,2000,20,10,0.6,False,0.35,0.1,27762,3085,0.03511432978935841,0.017830851335421574,0.4352148563430256,0.9397082658022691,86.45952320098877
99,500,30,2,sqrt,False,0.25,0.25,22812,7605,0.02531064957877582,0.014534231851342528,0.4382198406381267,0.9025641025641026,13.853306770324707
100,1500,25,2,0.7,True,0.3,0.25,22950,7650,0.027767780092172362,0.015093688227136035,0.43660224880893084,0.9070588235294118,78.09056782722473
101,2000,15,7,sqrt,True,0.2,0.2,24072,6019,0.02267837143861013,0.014290824451761493,0.42358295139919455,0.937697291908955,33.642910957336426
102,1000,25,1,0.4,False,0.3,0.15,26010,4590,0.027703362219136395,0.01509073727200318,0.4311341475216207,0.8958605664488017,50.399240016937256
103,1000,25,3,0.5,True,0.25,0.2,24333,6084,0.025003480527138654,0.014248757369142714,0.44420380925888914,0.9128862590401052,40.506267070770264
104,1500,15,2,0.5,False,0.35,0.25,23135,7712,0.0348298974238821,0.01813727414632987,0.37796040431594347,0.9341286307053942,46.71058893203735
105,1000,50,5,0.5,False,0.35,0.15,26219,4628,0.03408856801122508,0.017090858342215222,0.4298220410875401,0.9172428694900605,43.20024108886719
106,500,20,10,0.6,True,0.35,0.15,26219,4628,0.03522557850901472,0.01767824099038232,0.3911515877070192,0.9273984442523768,19.683393001556396
107,1000,None,10,sqrt,True,0.25,0.15,25854,4563,0.025579213349738537,0.014866574400561591,0.41791833502377906,0.930528161297392,19.64090585708618
108,2000,50,1,0.4,False,0.225,0.15,25749,4545,0.023423955548734714,0.013824601370868144,0.4470357399895224,0.8800880088008801,118.69209408760071
109,2000,15,10,0.7,True,0.2,0.1,27081,3010,0.021828232086154264,0.013759678364281321,0.45483411404124596,0.9431893687707641,85.30414199829102
110,1500,50,3,0.3,True,0.2,0.15,25577,4514,0.021689914682220177,0.013175577202552356,0.4716623897921517,0.9047408063801506,50.67328095436096
111,1000,20,5,0.4,True,0.35,0.2,24677,6170,0.034559261196774924,0.017221349264350393,0.4079025954973575,0.9228525121555916,30.982823848724365
112,1500,30,1,0.7,False,0.2,0.15,25577,4514,0.021856447173149347,0.013273542960054941,0.4635182223284099,0.882365972529907,108.00336790084839
113,1000,30,10,0.5,True,0.3,0.15,26010,4590,0.02768485291577098,0.015227603736336625,0.4318940403539565,0.9300653594771242,35.7185800075531
114,1500,None,2,0.5,False,0.25,0.2,24333,6084,0.025229842980389616,0.014347156933874849,0.4340947454975932,0.8939842209072978,73.43014907836914
115,1500,30,10,0.4,False,0.225,0.2,24235,6059,0.023531390424366794,0.014142286458182782,0.44883039513793,0.9339825053639215,43.03367900848389
116,1000,50,1,0.6,True,0.225,0.2,24235,6059,0.023655273944898234,0.014004826983285729,0.4430117362577719,0.8674698795180723,66.40090203285217
117,500,20,7,sqrt,False,0.2,0.15,25577,4514,0.021943196676289283,0.013627519414996035,0.45925111648765593,0.9353123615418697,9.829054355621338
118,1500,50,2,0.5,False,0.2,0.25,22568,7523,0.021904057146360435,0.013336564958930371,0.4660345989672575,0.8932606672869866,66.71387004852295
119,1000,30,3,0.5,True,0.2,0.25,22568,7523,0.021847079166916927,0.013287226823634304,0.46880894335830625,0.9009703575701183,38.6743438243866
120,2000,50,5,log2,True,0.225,0.2,24235,6059,0.023259948391542405,0.013824054445924319,0.46147288608329085,0.9240798811685097,43.843480825424194
121,1000,None,1,0.6,False,0.3,0.15,26010,4590,0.027954029992755407,0.015230161779458334,0.42079305885704776,0.8649237472766884,72.52278399467468
122,2000,50,2,log2,True,0.25,0.15,25854,4563,0.02505379180567921,0.014306972301755299,0.44158576668125626,0.8897655051501205,65.74946975708008
123,1500,None,1,log2,True,0.35,0.2,24677,6170,0.03460233766218579,0.017229614815141236,0.4064256334240408,0.8512155591572124,65.98909997940063
124,1500,40,1,0.3,True,0.2,0.25,22568,7523,0.022334208830887194,0.013525978896707067,0.4448566589930354,0.8608267978200186,69.05026483535767
125,1000,None,2,0.4,False,0.3,0.1,27540,3060,0.027176237971412595,0.014763520909311358,0.4508274505917732,0.8950980392156863,50.52931499481201
126,1000,30,3,0.4,True,0.25,0.2,24333,6084,0.025061494191904458,0.014277455312923128,0.44162167432493427,0.9051610782380013,37.53606986999512
127,1500,25,5,sqrt,True,0.25,0.25,22812,7605,0.025462749708357428,0.01471099551051014,0.431447705136465,0.926758711374096,30.00464415550232
128,1000,50,2,0.3,False,0.3,0.1,27540,3060,0.02706677259690921,0.014711086555977654,0.4552426538325248,0.8977124183006536,42.74097919464111
129,2000,30,1,0.7,True,0.35,0.15,26219,4628,0.03446369246378792,0.01712560915875309,0.41720405442543784,0.8744598098530683,150.71349787712097
130,500,50,2,0.5,False,0.225,0.15,25749,4545,0.023065272144956944,0.013646548443953506,0.4638408053414752,0.902970297029703,25.60845708847046
131,1000,None,5,log2,False,0.3,0.2,24480,6120,0.027488949570521743,0.015075287851595662,0.43889769737826245,0.9233660130718955,21.98970127105713
132,500,50,1,0.7,False,0.25,0.2,24333,6084,0.02571095901099592,0.014562747286343367,0.4123060998058369,0.8694937541091388,37.01699900627136
133,2000,50,1,0.6,True,0.225,0.25,22720,7574,0.02393734440985318,0.014204319901171925,0.4263482199129509,0.8682334301557961,124.21637797355652
134,500,20,3,0.4,False,0.3,0.1,27540,3060,0.02715804286772724,0.015013531843044927,0.4515625712121756,0.9297385620915033,18.903125047683716
135,500,20,10,0.5,True,0.3,0.25,22950,7650,0.028329820393245463,0.015732532729128182,0.4135642617731139,0.9328104575163398,15.13945984840393
136,500,30,10,log2,True,0.3,0.25,22950,7650,0.02844532742701294,0.015809028881387396,0.4087724528543468,0.9291503267973856,8.709121942520142
137,500,40,10,log2,False,0.225,0.15,25749,4545,0.02330604791289945,0.014018156247631402,0.4525885694612486,0.9392739273927393,9.704450130462646
138,2000,None,2,0.4,True,0.2,0.1,27081,3010,0.021234896696629802,0.01280825369679257,0.484068729092449,0.8900332225913621,97.97504997253418
139,2000,25,7,0.3,True,0.35,0.25,23135,7712,0.03432658106936731,0.017198691618282958,0.39580832192425464,0.9245331950207469,48.22422981262207
140,500,15,3,0.7,False,0.2,0.1,27081,3010,0.021149371529755993,0.013383484144215472,0.48821626510818783,0.9425249169435216,22.368050813674927
141,500,30,5,0.6,True,0.3,0.25,22950,7650,0.027726819140191428,0.015179877917033683,0.43826318729207725,0.9139869281045752,20.016966819763184
142,1500,50,7,0.3,False,0.3,0.2,24480,6120,0.027589088941314312,0.015177797260234304,0.43480217705416335,0.9267973856209151,39.08240604400635
143,500,20,3,0.3,True,0.2,0.15,25577,4514,0.021652367911820656,0.013253838299245079,0.4734899858238515,0.923349579087284,14.450064897537231
144,2000,40,2,0.7,False,0.35,0.15,26219,4628,0.03417099546613418,0.017145038617030674,0.42706128329661186,0.8917458945548833,136.39961218833923
145,1000,None,7,0.5,True,0.225,0.1,27264,3030,0.02268831374017695,0.013416718489465837,0.47640984155614363,0.9287128712871288,39.90034198760986
146,500,30,3,0.5,False,0.225,0.15,25749,4545,0.02298740019715636,0.013525537073816346,0.46745500770914516,0.9133113311331134,22.2801992893219
147,1000,25,1,log2,True,0.225,0.2,24235,6059,0.02346227267286606,0.013842844060924044,0.4520634939731335,0.8961874896847665,35.33879089355469
148,1500,40,10,0.7,True,0.225,0.2,24235,6059,0.023557409936298464,0.014053129130353914,0.4476108248002676,0.9326621554711999,63.66398787498474
149,2000,25,5,0.3,True,0.3,0.25,22950,7650,0.027812560884432357,0.015251290434691138,0.4347836128821486,0.9220915032679738,50.98525619506836
150,2000,30,10,0.3,False,0.225,0.15,25749,4545,0.02324278260850203,0.013901909601925947,0.4555564811085203,0.9388338833883388,50.58804988861084
151,2000,30,3,log2,True,0.35,0.15,26219,4628,0.0339438503902422,0.016956288463146056,0.43465296540009124,0.9047104580812446,54.8376100063324
152,1000,30,10,0.3,False,0.25,0.25,22812,7605,0.025694290709733274,0.015015971720963528,0.42106063334664245,0.9318869165023012,22.16834783554077
153,2000,15,7,log2,True,0.3,0.1,27540,3060,0.028018088697772867,0.015860245943332463,0.4162765256836506,0.9437908496732026,38.41982316970825
