feature,sigma,cv_r2
FREE_AIR,3.732142857142857,0.42907830476760866
FREE_AIR,4.0,0.42890932559967043
CTD,0.25,0.4300030469894409
CTD,0.5178571428571428,0.43259683847427366
CTD,0.7857142857142857,0.4319042205810547
CTD,1.0535714285714286,0.4314901947975159
CTD,1.3214285714285714,0.43125185966491697
CTD,1.5892857142857142,0.4311076760292053
CTD,1.8571428571428572,0.43101569414138796
CTD,2.125,0.43095405101776124
CTD,2.392857142857143,0.43091094493865967
CTD,2.6607142857142856,0.4308797597885132
CTD,2.9285714285714284,0.43085652589797974
CTD,3.196428571428571,0.4308387279510498
CTD,3.4642857142857144,0.43082484006881716
CTD,3.732142857142857,0.4308137774467468
CTD,4.0,0.43080482482910154
REVEAL_S70,0.25,0.43095203638076784
REVEAL_S70,0.5178571428571428,0.43296886682510377
REVEAL_S70,0.7857142857142857,0.4328152060508728
REVEAL_S70,1.0535714285714286,0.4326820015907288
REVEAL_S70,1.3214285714285714,0.4326000094413757
REVEAL_S70,1.5892857142857142,0.43254891633987425
REVEAL_S70,1.8571428571428572,0.43251560926437377
REVEAL_S70,2.125,0.43249298334121705
REVEAL_S70,2.392857142857143,0.4324769973754883
REVEAL_S70,2.6607142857142856,0.4324652671813965
REVEAL_S70,2.9285714285714284,0.4324564814567566
REVEAL_S70,3.196428571428571,0.4324497222900391
REVEAL_S70,3.4642857142857144,0.4324444174766541
REVEAL_S70,3.732142857142857,0.43244019746780393
REVEAL_S70,4.0,0.4324367523193359
MAG_SEIS_MOHO,0.25,0.41841515302658083
MAG_SEIS_MOHO,0.5178571428571428,0.4296660184860229
MAG_SEIS_MOHO,0.7857142857142857,0.4322560429573059
MAG_SEIS_MOHO,1.0535714285714286,0.4327470898628235
MAG_SEIS_MOHO,1.3214285714285714,0.4328446865081787
MAG_SEIS_MOHO,1.5892857142857142,0.43286503553390504
MAG_SEIS_MOHO,1.8571428571428572,0.4328666090965271
MAG_SEIS_MOHO,2.125,0.43286350965499876
MAG_SEIS_MOHO,2.392857142857143,0.4328595161437988
MAG_SEIS_MOHO,2.6607142857142856,0.43285579681396485
MAG_SEIS_MOHO,2.9285714285714284,0.43285260200500486
MAG_SEIS_MOHO,3.196428571428571,0.43284987211227416
MAG_SEIS_MOHO,3.4642857142857144,0.43284761905670166
MAG_SEIS_MOHO,3.732142857142857,0.43284571170806885
MAG_SEIS_MOHO,4.0,0.4328441619873047
BOUGUER,0.25,0.4324211597442627
BOUGUER,0.5178571428571428,0.4323601007461548
BOUGUER,0.7857142857142857,0.4317753314971924
BOUGUER,1.0535714285714286,0.4314893245697021
BOUGUER,1.3214285714285714,0.43134087324142456
BOUGUER,1.5892857142857142,0.4312559008598328
BOUGUER,1.8571428571428572,0.43120322227478025
BOUGUER,2.125,0.4311684608459473
BOUGUER,2.392857142857143,0.43114436864852906
