n_feats,features,r2,rmse
17,REVEAL_P150|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|DEM|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT,0.40784178642933144,0.03456103578867045
8,REVEAL_P150|CRUST_RHO|LITH_RHO|LAB|MOHO|REVEAL_VP60VS70|REVEAL_VP90VS60|SEDIMENT,0.3875159343484217,0.03514918570555714
13,REVEAL_P150|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.40061741566926623,0.03477122016792336
6,REVEAL_P150|EMAG2_LOG|LITH_RHO|FREE_AIR|REVEAL_S70|SEDIMENT,0.33727852554787163,0.03656229030892035
9,EMAG2_LOG|LAB|REVEAL_S80|DEM|REVEAL_S90|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT,0.37291995179540127,0.035565536347660826
17,REVEAL_P150|EMAG2_LOG|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60|GEOID,0.41373923077895824,0.03438850435971477
16,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|SEDIMENT|REVEAL_S100,0.41040753173232336,0.034486080248067603
6,REVEAL_P150|EMAG2_LOG|CRUST_RHO|MOHO_GRAV|REVEAL_VP90VS60|SEDIMENT,0.341343162813748,0.036449995005160704
10,REVEAL_VP50VS80|LITH_RHO|MOHO|DEM|SI|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|REVEAL_S70|SEDIMENT,0.40490884942273997,0.03464651981451125
11,CRUST_RHO|REVEAL_VP50VS80|CTD|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|FREE_AIR|REVEAL_VP90VS60|GEOID|SEDIMENT|REVEAL_S100,0.3930068714554661,0.03499127426273085
14,EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|CTD|DEM|REVEAL_VP60VS70|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4137442964737309,0.03438835578927289
14,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|LAB|REVEAL_S80|CTD|DEM|REVEAL_VP60VS70|MOHO_GRAV|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.40897532590355523,0.034527940693709604
