n_feats,features,r2,rmse
17,REVEAL_S70|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|MOHO|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|LAB|SI,0.2932960195791484,0.03775605757373073
8,REVEAL_S70|EMAG2_LOG|MAG_SEIS_MOHO|REVEAL_VP50VS80|GEOID|REVEAL_VP60VS70|SEDIMENT|SI,0.2691097749047291,0.03839670417408534
13,REVEAL_S70|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SEDIMENT|REVEAL_S80|LAB|REVEAL_VP90VS60,0.28065602629673403,0.03809221051565331
6,REVEAL_S70|REVEAL_P150|MAG_SEIS_MOHO|CTD|LAB|SI,0.2730849723255634,0.03829214498091276
9,REVEAL_P150|REVEAL_VP50VS80|REVEAL_S90|MOHO|FREE_AIR|CTD|SEDIMENT|LAB|SI,0.3018464270056538,0.03752695733169155
17,REVEAL_S70|REVEAL_P150|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SEDIMENT|REVEAL_S80,0.3061893566637919,0.03741005527245655
16,REVEAL_P150|EMAG2_LOG|BOUGUER|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|SI|REVEAL_VP90VS60,0.3023478355990711,0.037513479123407203
6,REVEAL_S70|REVEAL_P150|EMAG2_LOG|CRUST_RHO|SEDIMENT|SI,0.24314451723845032,0.039072783560223014
10,BOUGUER|MAG_SEIS_MOHO|GEOID|MOHO|DEM|CRUST_RHO|CTD|SEDIMENT|LAB|SI,0.27886969603366074,0.03813947794227891
11,EMAG2_LOG|BOUGUER|LITH_RHO|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CTD|SEDIMENT|REVEAL_S80|SI|REVEAL_VP90VS60,0.26746824293775906,0.038439798242699906
14,REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|REVEAL_S90|LITH_RHO|MOHO|REVEAL_VP60VS70|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.30716180727153397,0.037383828961501005
14,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|MOHO|REVEAL_VP60VS70|CRUST_RHO|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.3051378687839633,0.03743839249068746
18,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|LAB|REVEAL_VP90VS60,0.29657803017435547,0.03766828391666645
6,EMAG2_LOG|DEM|FREE_AIR|CRUST_RHO|CTD|REVEAL_S80,0.2426264120889916,0.03908615490226866
6,GEOID|LITH_RHO|MOHO|DEM|REVEAL_S100|REVEAL_VP90VS60,0.30773295716228266,0.037368416869423764
6,REVEAL_S70|REVEAL_S90|MOHO|DEM|REVEAL_S100|SI,0.2674447761383969,0.0384404139510292
9,REVEAL_S70|REVEAL_P150|MOHO_GRAV|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|MOHO|DEM|SI,0.30224116100815845,0.0375163470153766
12,REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|GEOID|REVEAL_S90|REVEAL_S100|REVEAL_VP60VS70|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.28890110114555423,0.03787327610813966
19,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|SEDIMENT|REVEAL_S80|REVEAL_VP90VS60,0.3062021210877086,0.037409711143979174
20,REVEAL_S70|REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|SI|REVEAL_VP90VS60,0.3080676429259658,0.03735938264681949
21,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_VP50VS80|GEOID|REVEAL_S90|LITH_RHO|DEM|FREE_AIR|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.27330484598060145,0.03828635333380195
10,EMAG2_LOG|BOUGUER|REVEAL_VP50VS80|MOHO|FREE_AIR|CRUST_RHO|SEDIMENT|REVEAL_S80|LAB|REVEAL_VP90VS60,0.282756971320381,0.03803654301652347
17,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MOHO_GRAV|REVEAL_VP50VS80|GEOID|MOHO|DEM|FREE_AIR|REVEAL_S100|CTD|SEDIMENT|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.29113037258578467,0.03781386377604152
16,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|MOHO_GRAV|REVEAL_S90|DEM|REVEAL_S100|REVEAL_VP60VS70|CRUST_RHO|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.2935663610350755,0.037748835310810705
15,REVEAL_S70|REVEAL_P150|EMAG2_LOG|BOUGUER|MAG_SEIS_MOHO|REVEAL_S90|LITH_RHO|MOHO|DEM|FREE_AIR|REVEAL_VP60VS70|CRUST_RHO|LAB|SI|REVEAL_VP90VS60,0.3050858082104939,0.03743979494708105
14,REVEAL_S70|REVEAL_P150|BOUGUER|REVEAL_VP50VS80|REVEAL_S90|LITH_RHO|MOHO|REVEAL_S100|REVEAL_VP60VS70|CTD|REVEAL_S80|LAB|SI|REVEAL_VP90VS60,0.30889876193357346,0.03733693867356001
