run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
87,1000,20,10,0.3,False,0.25,0.15,25854,4563,0.02557834409365181,0.015066354002398934,0.41795789600839817,0.9338154722770108,22.480392932891846
88,500,15,2,0.3,False,0.25,0.15,25854,4563,0.025431742310273002,0.015189562552864808,0.4246107020751191,0.9318430856892396,12.17225980758667
89,2000,25,1,0.3,True,0.2,0.25,22568,7523,0.02222325948674408,0.013546631140832923,0.45035851520165127,0.8888741193672737,79.45670795440674
90,2000,50,5,0.6,False,0.3,0.25,22950,7650,0.02785968971569212,0.015335900737348805,0.43286645343080565,0.9184313725490196,70.45101380348206
91,500,15,1,0.5,False,0.25,0.2,24333,6084,0.025696697478163017,0.015306358670369332,0.4129578912321181,0.9294871794871795,15.699863910675049
92,500,None,1,0.5,False,0.3,0.25,22950,7650,0.02852290964828947,0.015558629309402423,0.4055430087169458,0.8729411764705882,28.064507961273193
93,1000,20,10,0.7,False,0.25,0.1,27375,3042,0.025124698462611762,0.014515348207103316,0.41244210116596847,0.9358974358974359,38.30228281021118
94,1500,20,2,sqrt,True,0.2,0.25,22568,7523,0.02210521547493459,0.013616867976196202,0.45618210452228547,0.9161238867473083,35.6352961063385
95,1000,40,3,0.5,False,0.35,0.15,26219,4628,0.034100277333062645,0.017115859303751486,0.4294302649422531,0.9068712186689715,43.43253517150879
96,1000,25,7,0.6,False,0.35,0.15,26219,4628,0.034689994680713696,0.017425402855279035,0.40952518896227974,0.925885911840968,37.64571404457092
97,2000,40,10,0.6,False,0.35,0.25,23135,7712,0.03464095389257625,0.01754429883057591,0.38469091919018983,0.9308869294605809,62.70526099205017
98,2000,20,10,0.6,False,0.35,0.1,27762,3085,0.03536310459732485,0.01794830151158533,0.42718383125465953,0.9387358184764992,72.9875659942627
99,500,30,2,sqrt,False,0.25,0.25,22812,7605,0.025353294715432156,0.01463636599288374,0.436325193567876,0.904930966469428,14.901215076446533
100,1500,25,2,0.7,True,0.3,0.25,22950,7650,0.02796345498827159,0.015219241758955844,0.4286339324853522,0.9088888888888889,68.4605450630188
101,2000,15,7,sqrt,True,0.2,0.2,24072,6019,0.022849758656200876,0.014468835237151402,0.41483771948591264,0.9355374646951321,35.185364961624146
102,1000,25,1,0.4,False,0.3,0.15,26010,4590,0.02793120260488749,0.015170900503273405,0.4217386386551141,0.8989106753812636,48.25894618034363
103,1000,25,3,0.5,True,0.25,0.2,24333,6084,0.02510294556570996,0.014367425363298329,0.439773046327102,0.9125575279421433,37.39557719230652
104,1500,15,2,0.5,False,0.35,0.25,23135,7712,0.034831001450510504,0.018097866259147832,0.37792096927808716,0.9360736514522822,41.58894181251526
105,1000,50,5,0.5,False,0.35,0.15,26219,4628,0.03436138278074804,0.017243796624393314,0.4206591203902492,0.9178910976663786,37.60856103897095
106,500,20,10,0.6,True,0.35,0.15,26219,4628,0.03554374357258541,0.017862781393655245,0.3801034155098715,0.9297752808988764,17.000936031341553
107,1000,None,10,sqrt,True,0.25,0.15,25854,4563,0.025836409009695926,0.015109570651093944,0.4061539756157083,0.9318430856892396,20.341429948806763
108,2000,50,1,0.4,False,0.225,0.15,25749,4545,0.023518156575294033,0.013965829897118235,0.44257923031339974,0.8829482948294829,112.8199520111084
109,2000,15,10,0.7,True,0.2,0.1,27081,3010,0.022023954826898475,0.01390711313166282,0.4450138290483564,0.9408637873754153,69.91002178192139
110,1500,50,3,0.3,True,0.2,0.15,25577,4514,0.021739532013076872,0.013302673526358243,0.46924239999898043,0.9058484714222419,48.09700894355774
111,1000,20,5,0.4,True,0.35,0.2,24677,6170,0.0348188392222525,0.017358508783782284,0.39897458715697875,0.926094003241491,27.365246057510376
112,1500,30,1,0.7,False,0.2,0.15,25577,4514,0.021996521305363264,0.013387744082711789,0.4566197523688611,0.8797075764288879,98.8650062084198
113,1000,30,10,0.5,True,0.3,0.15,26010,4590,0.027896719870146455,0.01540153053983042,0.42316555355285934,0.9289760348583878,31.34555196762085
114,1500,None,2,0.5,False,0.25,0.2,24333,6084,0.025098062687449022,0.014357234956840272,0.4399909692762185,0.8969428007889546,68.30289793014526
115,1500,30,10,0.4,False,0.225,0.2,24235,6059,0.023722437008756495,0.014312278694007302,0.43984439648544305,0.9359630302030038,37.19457292556763
116,1000,50,1,0.6,True,0.225,0.2,24235,6059,0.02368994009360335,0.014077009169713826,0.4413780383213244,0.8720911041425978,63.32227897644043
117,500,20,7,sqrt,False,0.2,0.15,25577,4514,0.022172274481105148,0.013777931205625047,0.44790179823012066,0.934647762516615,10.185699701309204
118,1500,50,2,0.5,False,0.2,0.25,22568,7523,0.021978462862227422,0.0134383366714739,0.4624007920393931,0.8956533297886482,62.04548215866089
119,1000,30,3,0.5,True,0.2,0.25,22568,7523,0.021934698802364566,0.013423849285055927,0.46453962219984946,0.9021666888209491,35.527889251708984
120,2000,50,5,log2,True,0.225,0.2,24235,6059,0.02351453213721519,0.014050006228136316,0.449619846751943,0.9267205809539528,45.68837094306946
121,1000,None,1,0.6,False,0.3,0.15,26010,4590,0.028018483328090902,0.015226159074277875,0.4181190360401429,0.8742919389978213,67.98287796974182
122,2000,50,2,log2,True,0.25,0.15,25854,4563,0.02510744005323426,0.014385001488301503,0.43919171630592824,0.8976550515012054,70.09060072898865
123,1500,None,1,log2,True,0.35,0.2,24677,6170,0.03466847368893521,0.01731110945450389,0.4041544477882423,0.8641815235008103,71.17542314529419
124,1500,40,1,0.3,True,0.2,0.25,22568,7523,0.02236799325892013,0.013647012099668987,0.4431758843869009,0.8666755283796358,69.72488617897034
125,1000,None,2,0.4,False,0.3,0.1,27540,3060,0.02720234721502956,0.014884633888905244,0.4497717218587276,0.9026143790849673,45.53548884391785
126,1000,30,3,0.4,True,0.25,0.2,24333,6084,0.025096138218385397,0.014352615637754565,0.44007684672020253,0.9095989480604865,33.3754198551178
127,1500,25,5,sqrt,True,0.25,0.25,22812,7605,0.02561822305263818,0.014869790818668306,0.4244834461331052,0.926232741617357,31.1202871799469
128,1000,50,2,0.3,False,0.3,0.1,27540,3060,0.027153586482435054,0.014892594925485775,0.4517425435305261,0.9026143790849673,41.56804704666138
129,2000,30,1,0.7,True,0.35,0.15,26219,4628,0.03448258038704944,0.01732345341095483,0.41656507347248717,0.8783491789109766,136.578937292099
130,500,50,2,0.5,False,0.225,0.15,25749,4545,0.023184380257514504,0.013696057483000288,0.4582891000025022,0.9053905390539054,23.906599760055542
131,1000,None,5,log2,False,0.3,0.2,24480,6120,0.027622049303499298,0.015204213129639123,0.43345089988882746,0.927124183006536,22.961318969726562
132,500,50,1,0.7,False,0.25,0.2,24333,6084,0.02557041555624485,0.014569488788559723,0.4187135451994013,0.87146614069691,33.37237811088562
