run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
88,500,15,2,0.3,False,0.25,0.15,2496,441,0.039321212338985355,0.02676911665266123,0.3246225555873248,0.8843537414965986,1.732414960861206
89,2000,25,1,0.3,True,0.2,0.25,2103,701,0.03436766288653023,0.024577467121975196,0.318850990538862,0.8430813124108416,10.995653867721558
90,2000,50,5,0.6,False,0.3,0.25,2262,755,0.04473194032586959,0.02935462608248884,0.3528346917608195,0.8966887417218543,7.747812747955322
91,500,15,1,0.5,False,0.25,0.2,2349,588,0.040605093499689375,0.02795024378501592,0.28207284888370865,0.8724489795918368,2.1477601528167725
92,500,None,1,0.5,False,0.3,0.25,2262,755,0.04676286048282322,0.030508713301805115,0.29273544611861635,0.8463576158940397,2.874213218688965
93,1000,20,10,0.7,False,0.25,0.1,2643,294,0.03751626103587029,0.026038815612392144,0.3665760112295783,0.9217687074829932,5.071684122085571
94,1500,20,2,sqrt,True,0.2,0.25,2103,701,0.03388595774761375,0.024200234699173345,0.3378114607620536,0.8573466476462197,4.49290919303894
95,1000,40,3,0.5,False,0.35,0.15,2661,470,0.06102943481387957,0.036374893618784994,0.3209005748922371,0.8829787234042553,4.844291925430298
96,1000,25,7,0.6,False,0.35,0.15,2661,470,0.06158915781311111,0.03688491552283892,0.30838692078138685,0.9,4.237514972686768
97,2000,40,10,0.6,False,0.35,0.25,2348,783,0.061647946210698565,0.03699449329752992,0.27986566496458687,0.9169859514687101,6.1963210105896
98,2000,20,10,0.6,False,0.35,0.1,2817,314,0.061098171415355965,0.03744147856991367,0.35530615097364526,0.9299363057324841,8.300871133804321
99,500,30,2,sqrt,False,0.25,0.25,2202,735,0.0404355220926437,0.02805381183323907,0.28383259953708506,0.8571428571428571,2.0887057781219482
100,1500,25,2,0.7,True,0.3,0.25,2262,755,0.04565843469893446,0.029859892567664744,0.32574870080377816,0.8675496688741722,7.905794143676758
101,2000,15,7,sqrt,True,0.2,0.2,2243,561,0.034947660982480935,0.025197206499179652,0.3123497264131112,0.8823529411764706,4.2860329151153564
102,1000,25,1,0.4,False,0.3,0.15,2564,453,0.0439392263667339,0.02894145400968472,0.30457450374667683,0.8344370860927153,6.638440132141113
103,1000,25,3,0.5,True,0.25,0.2,2349,588,0.0404561104524689,0.027998617803823646,0.28733143815502826,0.8758503401360545,4.458264112472534
